cell_id,gait_index,family,velocity_mps,seed,status,reason,positive_directed_progress,tracking_rmse_mps,yaw_tracking_rmse_radps,tracking_success_threshold_mps,yaw_tracking_success_threshold_radps,vx_relative_tracking_success_threshold,vx_relative_tracking_success,planar_tracking_success,yaw_tracking_success,tracking_success,velocity_metric_valid,velocity_metric_reason,heading_metric_valid,heading_metric_reason,recording_manifest_valid,recording_manifest_reason,gait_metric_valid,gait_metric_reason,load_metric_valid,load_metric_reason,raw_load_metric_valid,raw_load_metric_reason,grf_load_metric_valid,grf_load_metric_reason,normalized_load_metric_valid,normalized_load_metric_reason,velocity_success_domain_valid,gait_success_domain_valid,joint_success_domain_valid,velocity_only_success,gait_only_success,joint_velocity_and_gait_success,gait_row_correct,gait_family_correct,gait_classification_available,success,success_failed_checks,relative_output_dir
gait_03_half_bound__vx_neg_0p5__seed_4242,3,half_bound,-0.5,4242,valid,,True,0.06101976149164392,0.05957844459277109,0.175,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,False,False,False,False,True,False,"[""yaw_rmse"",""correct_family""]",cells/gait_03_half_bound/vx_neg_0p5/seed_4242
gait_03_half_bound__vx_pos_0p5__seed_4242,3,half_bound,0.5,4242,valid,,True,0.049569766089662855,0.07030461002703521,0.175,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,False,False,False,False,True,False,"[""yaw_rmse"",""correct_family""]",cells/gait_03_half_bound/vx_pos_0p5/seed_4242
gait_03_half_bound__vx_pos_1p0__seed_4242,3,half_bound,1.0,4242,valid,,True,0.05271155294682747,0.049824031590238856,0.3,0.05,0.2,True,True,True,True,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,True,False,False,False,False,True,False,"[""correct_family""]",cells/gait_03_half_bound/vx_pos_1p0/seed_4242
gait_03_half_bound__vx_pos_1p5__seed_4242,3,half_bound,1.5,4242,valid,,True,0.06189372644623811,0.05741006387571239,0.425,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,False,False,False,False,True,False,"[""yaw_rmse"",""correct_family""]",cells/gait_03_half_bound/vx_pos_1p5/seed_4242
gait_04_half_bound__vx_neg_1p5__seed_4242,4,half_bound,-1.5,4242,valid,,True,0.07022385400423009,0.0757366225473939,0.425,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,True,False,True,True,True,False,"[""yaw_rmse""]",cells/gait_04_half_bound/vx_neg_1p5/seed_4242
gait_04_half_bound__vx_neg_1p0__seed_4242,4,half_bound,-1.0,4242,valid,,True,0.07044731729290574,0.06582590014246159,0.3,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,True,False,True,True,True,False,"[""yaw_rmse""]",cells/gait_04_half_bound/vx_neg_1p0/seed_4242
gait_04_half_bound__vx_neg_0p5__seed_4242,4,half_bound,-0.5,4242,valid,,True,0.08145228682006453,0.07084553273699565,0.175,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,False,False,False,False,True,False,"[""yaw_rmse"",""correct_family""]",cells/gait_04_half_bound/vx_neg_0p5/seed_4242
gait_04_half_bound__vx_pos_0p5__seed_4242,4,half_bound,0.5,4242,valid,,True,0.046919564968664555,0.08359290026892191,0.175,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,False,False,False,False,True,False,"[""yaw_rmse"",""correct_family""]",cells/gait_04_half_bound/vx_pos_0p5/seed_4242
gait_04_half_bound__vx_pos_1p0__seed_4242,4,half_bound,1.0,4242,valid,,True,0.03693280925191541,0.06446474050795853,0.3,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,False,False,False,False,True,False,"[""yaw_rmse"",""correct_family""]",cells/gait_04_half_bound/vx_pos_1p0/seed_4242
gait_04_half_bound__vx_pos_1p5__seed_4242,4,half_bound,1.5,4242,valid,,True,0.03638230715648907,0.0624104661176431,0.425,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,False,False,False,False,True,False,"[""yaw_rmse"",""gait_agreement"",""correct_family""]",cells/gait_04_half_bound/vx_pos_1p5/seed_4242
