robot,condition,mirror_coeff,value_coeff,warmup_iterations,joint_index,joint_name,leg,pair,effort_limit_nm,torque_range_nm,mean_torque_nm,cycle_amplitude_nm,normalized_cycle_amplitude,cycle_count
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,1.2482681274414062,-0.4557924270629883,0.6241340637207031,0.026334770621126716,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,12.76012659072876,-2.6066243648529053,6.38006329536438,0.2692009829267671,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,1.944119930267334,-3.6786515712738037,0.972059965133667,0.04101518840226443,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,0.1444096565246582,-1.0487308502197266,0.0722048282623291,0.003046617226258612,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,1.745629072189331,-0.30155932903289795,0.8728145360946655,0.03682761755673694,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,12.993612289428711,-2.534024238586426,6.4968061447143555,0.2741268415491289,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,2.1420156955718994,-4.24003541469574,1.0710078477859497,0.045190204547930365,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,0.1356186866760254,-1.0320138931274414,0.0678093433380127,0.002861153727342308,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,2.722905397415161,0.09902799129486084,1.3614526987075806,0.057445261548843066,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,13.401712656021118,-3.248987078666687,6.700856328010559,0.28273655392449615,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,2.4473989009857178,-4.468217492103577,1.2236994504928589,0.05163288820644974,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,0.05982542037963867,-1.0726368427276611,0.029912710189819336,0.0012621396704565122,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,3.9653044939041138,0.7067388892173767,1.9826522469520569,0.08365621295156359,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,2.55910062789917,-3.954530954360962,1.279550313949585,0.05398946472361118,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,13.036796569824219,-2.7483692169189453,6.518398284912109,0.2750379023169667,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,4.8422017097473145,1.116901159286499,2.4211008548736572,0.10215615421407837,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,2.28543758392334,-3.873414993286133,1.14271879196167,0.04821598278319283,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,14.685386180877686,-2.1346495151519775,7.342693090438843,0.309818273858179,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,16.034310340881348,-2.479759693145752,8.017155170440674,0.3382765894700706,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,4.800628423690796,1.0094856023788452,2.400314211845398,0.1012790806685822,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,2.385098695755005,-4.176413893699646,1.1925493478775024,0.050318537885126684,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,0.11763310432434082,-1.0402973890304565,0.05881655216217041,0.002481711061694954,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,0.7599067687988281,-0.8053014278411865,0.37995338439941406,0.016031788371283294,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,16.802939414978027,-2.6496357917785645,8.401469707489014,0.3544923927210554,0.5
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,16.764824867248535,-2.6686930656433105,8.382412433624268,0.3536882883385767,0.5
