robot,condition,mirror_coeff,value_coeff,warmup_iterations,leg_index,leg,pair,vertical_grf_impulse_ns_per_s,vertical_grf_impulse_ns_per_m,grf_impulse_ns_per_m,contact_duty_factor,vertical_force_contact_mean_n,vertical_force_p95_n,vertical_force_p99_n,vertical_force_peak_n,positive_vertical_loading_rate_p95_nps,positive_vertical_loading_rate_p99_nps,positive_vertical_loading_rate_peak_nps,vertical_grf_impulse_ns_per_m_change_vs_same_foot_percent,vertical_force_p99_n_change_vs_same_foot_percent,vertical_force_peak_n_change_vs_same_foot_percent,positive_vertical_loading_rate_p99_nps_change_vs_same_foot_percent,positive_vertical_loading_rate_peak_nps_change_vs_same_foot_percent
x1,"0.10/0.05, w=100",0.1,0.05,100,3,rear_right,hind,34.4867191716067,60.6087632130617,61.02128238592816,0.4266666666666667,80.82824805845321,105.42349624633789,126.7184066772461,133.9380645751953,1609.4639587402673,3390.3368530274156,4328.402709961029,-8.209624325596664,4.328538092681855,8.38664420507973,37.60926153961825,33.37423901329857
x1,"0.10/0.05, w=500",0.1,0.05,500,0,front_left,front,54.575095886308056,97.62478956007851,98.44634248369735,0.4888888888888889,111.63087794926648,176.81502151489235,445.3295635986327,522.150634765625,1145.210838317847,22273.517272949677,26107.531738281807,1.9210857402573556,151.9587318910143,67.23296415960066,176.8695278039009,67.23296415960066
x1,"0.10/0.05, w=500",0.1,0.05,500,1,front_right,front,50.79556785537258,90.86391039597864,91.45735940963769,0.56,90.70587927827621,123.64496650695801,125.96678642272948,127.27974700927734,1238.3999633789301,5523.452074021934,5785.016250610475,42.093361642718506,27.552322062693246,27.985605119543578,92.58761553720467,72.31844366117011
x1,"0.10/0.05, w=500",0.1,0.05,500,2,rear_left,hind,44.99856135087594,80.49413401924352,81.48516730097303,0.5311111111111111,84.72532471922248,137.5091415405273,169.05676971435548,295.0830078125,2204.766006469758,8141.727050781412,14754.150390625315,-21.08776989857608,17.820249587029036,46.60570023269892,46.552400286190185,46.60570023269892
x1,"0.10/0.05, w=500",0.1,0.05,500,3,rear_right,hind,38.17929534660037,68.29572377717155,68.66265608048998,0.43555555555555553,87.6565454386233,125.48528671264647,131.25406539916992,134.5343780517578,1670.8304595947616,3668.109024047926,4594.32599255697,3.432075002494983,8.062791514529867,8.869198711327563,48.88366434601099,41.56832764801142
x1,"0.20/0.10, w=10",0.2,0.1,10,0,front_left,front,55.003417787446296,94.54516296998943,95.70191131321849,0.5466666666666666,100.61183940169842,182.3021522521969,237.67130111694328,411.0526123046875,2209.754638671922,11887.285064697511,20552.63061523481,-1.2940698278197882,34.46976022073442,31.650796157924212,47.764134528058165,31.650796157924187
x1,"0.20/0.10, w=10",0.2,0.1,10,1,front_right,front,47.54185144424439,81.71950532348546,82.36630946140818,0.56,84.89616329329354,114.06554641723633,121.17896339416501,141.4864501953125,1749.5973205566713,5937.708755493283,7074.322509765776,27.793302892101647,22.704235021167808,42.27109473389616,107.03160915491874,110.72304588796618
x1,"0.20/0.10, w=10",0.2,0.1,10,2,rear_left,hind,49.13451761141339,84.45713306352292,85.28442088038501,0.4955555555555556,99.15037186159654,144.96543426513665,196.79505203247066,419.1658935546875,1674.6022033691092,9841.716430664268,20958.294677734822,-17.20265334587007,37.15181111726387,108.2536361337941,77.15248335566048,108.2536361337941
x1,"0.20/0.10, w=10",0.2,0.1,10,3,rear_right,hind,36.473781422637046,62.69464239587749,63.63075334584884,0.42,86.8423367205644,122.89838066101072,134.23091796875,139.1327362060547,1759.0514373779665,3150.797760009831,4258.795507943969,-5.050615237603651,10.513664160780545,12.590326165110444,27.886688494823186,31.22938137851672
x1,"0.20/0.10, w=100",0.2,0.1,100,0,front_left,front,50.70211000633396,89.39619137614628,90.50344181950325,0.49333333333333335,102.77389772348968,174.62829360961896,314.33902709960734,526.505615234375,2761.284999847354,15830.202453613412,26325.28076171931,-6.669638652654819,77.84685573503529,68.62776528432424,96.7763162262191,68.62776528432424
x1,"0.20/0.10, w=100",0.2,0.1,100,1,front_right,front,43.944896136025925,77.48210763793215,79.41849464158955,0.6311111111111111,69.63099739863263,108.7750129699707,119.3328554534912,126.90155792236328,1910.2386474609768,4851.0446472169,5359.677505493279,21.16684273720175,20.83489024149634,27.605318701039174,69.1426138856207,59.64886635796789
x1,"0.20/0.10, w=100",0.2,0.1,100,2,rear_left,hind,53.30598880490478,93.98725962494788,94.9092473755076,0.5577777777777778,95.56850582552649,129.04887466430662,154.99956878662107,334.46099853515625,2043.065223693869,7750.748028874725,16723.04992675817,-7.859816761889061,8.023404866766715,66.16981524714262,39.5147148215967,66.16981524714262
x1,"0.20/0.10, w=100",0.2,0.1,100,3,rear_right,hind,37.87444002522363,66.77889122043028,67.69004388423107,0.4488888888888889,84.37375253143877,126.35556488037105,135.02585556030272,138.54605102539062,1800.4911804199555,3046.7781372070954,5680.479431152465,1.1348720430978343,11.168144271257695,12.115563160741893,23.664670418143775,75.03676809394577
x1,"0.20/0.10, w=500",0.2,0.1,500,0,front_left,front,57.250236982243536,103.3495181447917,104.06680973343363,0.45555555555555555,125.6712519122419,206.41295471191398,236.28148010253904,496.2637939453125,3708.4985351563255,11816.316345215091,24813.189697266153,7.897749613762417,33.683426752291304,58.9419982297176,46.881962412574275,58.9419982297176
