robot,condition,mirror_coeff,value_coeff,warmup_iterations,metric,sample_mean_unit,integral_unit,front_sample_mean,hind_sample_mean,front_integral,hind_integral,front_integral_per_s,hind_integral_per_s,front_integral_per_directed_m,hind_integral_per_directed_m,total_integral_per_directed_m,worst_pair_integral_per_directed_m,front_share_percent,signed_imbalance_percent,abs_imbalance_percent,dominant_pair,dominant_to_other_ratio,concentration_factor,bootstrap_ci_low_percent,bootstrap_ci_high_percent,abs_imbalance_change_vs_no_trs_pp,total_exposure_change_vs_no_trs_percent,total_per_directed_m_change_vs_no_trs_percent,worst_pair_per_directed_m_change_vs_no_trs_percent
go2,"0.20/0.10, w=10",0.2,0.1,10,positive_work,W,J,29.529916984963023,24.29787499701824,265.76925286466155,218.68087497315952,29.529916984963023,24.29787499701824,52.75586447422294,43.40870314694891,96.16456762117184,52.75586447422294,54.85998198634657,9.719963972693133,9.719963972693133,front,1.2153292001290994,1.0971996397269312,6.103063244495784,12.696025094192729,8.643682728454628,-4.270377892260669,-3.8971139150933864,4.321261814416366
go2,"0.20/0.10, w=10",0.2,0.1,10,negative_work,W,J,29.691892154511045,25.50702065486034,267.2270293905937,229.56318589373817,29.691892154511045,25.50702065486034,53.04523677747783,45.568869207937,98.61410598541484,53.04523677747783,53.7907191343633,7.581438268726589,7.581438268726589,front,1.164067436815804,1.0758143826872657,3.7456750262172442,11.245194632289936,-1.6218697870819083,7.201670114161396,7.61966530587701,6.021315523595039
go2,"0.20/0.10, w=10",0.2,0.1,10,grf_impulse,N,N s,108.11122637521262,56.65950147145414,973.0010373768929,509.9355132430764,108.11122637521262,56.65950147145414,193.14315071380128,101.22348065953469,294.36663137333596,193.14315071380128,65.61312666884578,31.226253337691574,31.226253337691574,front,1.9080864385946035,1.3122625333769158,27.963819522693143,34.23570715226371,13.773846675631791,0.25451946120769176,0.6454266834358346,12.448289776142364
go2,"0.20/0.10, w=10",0.2,0.1,10,vertical_grf_impulse,N,N s,106.10611540078192,55.75213041225691,954.955038607017,501.76917371030146,106.10611540078192,55.7521304122569,189.56097461500937,99.6024417432649,289.1634163582743,189.56097461500937,65.55496438738392,31.10992877476783,31.10992877476783,front,1.9031759793963832,1.3110992877476784,27.71871382950887,34.13112098647192,13.468549187719038,0.5931313969028684,0.9853589172273525,12.546990365196864
go2,"0.20/0.10, w=10",0.2,0.1,10,contact_time,feet,foot s,1.2466666666666666,1.0666666666666667,11.21999999999976,9.599999999999795,1.2466666666666666,1.0666666666666667,2.2271981917418953,1.905624121276488,4.132822313018383,2.2271981917418953,53.89048991354467,7.780979827089337,7.780979827089337,front,1.16875,1.0778097982708932,3.9765291453799585,11.641221374045802,7.500343718576708,-2.6192703461178635,-2.239568456047192,5.072280242864213
go2,"0.20/0.10, w=100",0.2,0.1,100,torque_squared,N^2 m^2,N^2 m^2 s,292.39318171037604,187.04983722210036,2631.5386353933286,1683.4485349988674,292.3931817103761,187.04983722210036,518.8523673090998,331.92036243718104,850.7727297462809,518.8523673090998,60.9860129700952,21.972025940190402,21.972025940190402,front,1.563183299449721,1.219720259401904,17.625183043121666,25.86512100888238,21.04104918203767,-4.516508642554151,-4.789154917803029,15.059420201391527
go2,"0.20/0.10, w=100",0.2,0.1,100,normalized_torque_utilization,1,s,0.3385733620486866,0.17948472887774883,3.0471602584381143,1.615362559899705,0.3385733620486866,0.17948472887774883,0.600799202564059,0.3184960604392479,0.9192952630033071,0.600799202564059,65.35432376767265,30.70864753534531,30.70864753534531,front,1.8863630581033815,1.307086475353453,26.968460659372305,34.21426594903275,23.63413423593826,-4.666813957206384,-4.93903104638751,16.043401015346426
go2,"0.20/0.10, w=100",0.2,0.1,100,absolute_work,W,J,68.52900126803542,60.34444312233387,616.7610114123056,543.0999881009933,68.52900126803542,60.34444312233388,121.6048689277172,107.08135184556247,228.68622077327964,121.6048689277172,53.1754246130451,6.350849226090196,6.350849226090196,front,1.1356306848189703,1.063508492260902,2.8313671274292864,9.450484816978385,2.513419704070854,19.6377643702089,19.296147297237297,22.183750434341466
go2,"0.20/0.10, w=100",0.2,0.1,100,positive_work,W,J,40.54416517949055,27.533066416785392,364.89748661540716,247.79759775106325,40.54416517949055,27.533066416785392,71.94571351115515,48.85748910444182,120.80320261559696,71.94571351115515,59.556130924848674,19.11226184969735,19.11226184969735,front,1.4725626476088043,1.1911226184969734,10.838657969773166,26.39934775385336,18.035980605458846,21.07142825093218,20.725717453365043,42.267929649592936
go2,"0.20/0.10, w=100",0.2,0.1,100,negative_work,W,J,27.984836088544867,32.81137670554848,251.86352479689845,295.30239034993,27.984836088544867,32.81137670554848,49.65915541656205,58.22386274112064,107.88301815768268,58.22386274112064,46.03055815881961,-7.938883682360779,7.938883682360779,hind,1.1724698548075212,1.0793888368236078,-10.291107359999687,-5.303167265241652,-1.264424373447718,18.072172375037287,17.73502573794916,16.371815787610664
go2,"0.20/0.10, w=100",0.2,0.1,100,grf_impulse,N,N s,106.21205123624812,59.58760628113031,955.9084611262126,536.2884565301614,106.21205123624812,59.58760628113031,188.47352697597844,105.73834314601564,294.2118701219941,188.47352697597844,64.06047685901609,28.120953718032148,28.120953718032148,front,1.7824520544615738,1.2812095371803214,24.49002866067831,31.45248171987281,10.668547055972365,0.8805702837334728,0.5925130359116793,9.729626436149896
