run,label,velocity_mps,direction,family,metric,metric_label,unit,cells,signed_imbalance_percent,mean_absolute_imbalance_percent,total_per_directed_m
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,1.5,forward,bound,vertical_grf_impulse,Vertical GRF impulse,N s,1,-5.18951275306509,5.18951275306509,99.68569245336329
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,1.5,forward,half_bound,vertical_grf_impulse,Vertical GRF impulse,N s,4,-8.248074000508405,8.248074000508405,103.6445536010069
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,1.5,forward,gallop,vertical_grf_impulse,Vertical GRF impulse,N s,4,-4.3511406494475775,4.3511406494475775,102.02209871424756
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,1.5,forward,all_family_balanced,vertical_grf_impulse,Vertical GRF impulse,N s,10,-5.5374223613595195,5.5374223613595195,103.19417214440631
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",-1.5,backward,trot,torque_squared,Torque²,N² m² s,1,28.891557790670422,28.891557790670422,334.4599483600565
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",-1.5,backward,bound,torque_squared,Torque²,N² m² s,1,-8.412728290916041,8.412728290916041,510.1639037177508
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",-1.5,backward,half_bound,torque_squared,Torque²,N² m² s,4,-5.002363265270459,8.103332948620581,492.13863357461145
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",-1.5,backward,gallop,torque_squared,Torque²,N² m² s,4,-1.645190147873262,8.525435059597553,460.6504253687418
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",-1.5,backward,all_family_balanced,torque_squared,Torque²,N² m² s,10,3.457819021652665,13.48326352245115,449.35322775529016
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",-1.5,backward,trot,absolute_work,Absolute work,J,1,-20.717556071569586,20.717556071569586,185.1243637752804
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",-1.5,backward,bound,absolute_work,Absolute work,J,1,-49.2448187827367,49.2448187827367,385.1953414003832
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",-1.5,backward,half_bound,absolute_work,Absolute work,J,4,-44.710489504384775,44.710489504384775,368.7247998606912
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",-1.5,backward,gallop,absolute_work,Absolute work,J,4,-40.20581292840204,40.20581292840204,341.7935170285947
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",-1.5,backward,all_family_balanced,absolute_work,Absolute work,J,10,-38.719669321773274,38.719669321773274,320.20950551623736
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",-1.5,backward,trot,vertical_grf_impulse,Vertical GRF impulse,N s,1,39.87250298648703,39.87250298648703,104.13629188508627
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",-1.5,backward,bound,vertical_grf_impulse,Vertical GRF impulse,N s,1,49.34810397744734,49.34810397744734,96.21087561220222
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",-1.5,backward,half_bound,vertical_grf_impulse,Vertical GRF impulse,N s,4,48.27607017493866,48.27607017493866,98.14936375842363
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",-1.5,backward,gallop,vertical_grf_impulse,Vertical GRF impulse,N s,4,46.5475845418171,46.5475845418171,98.55176464169863
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",-1.5,backward,all_family_balanced,vertical_grf_impulse,Vertical GRF impulse,N s,10,46.01106542017253,46.01106542017253,99.26207397435269
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",-1.0,backward,trot,torque_squared,Torque²,N² m² s,1,26.169053999408714,26.169053999408714,359.7465824566908
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",-1.0,backward,bound,torque_squared,Torque²,N² m² s,1,1.757173806075475,1.757173806075475,680.336034508129
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",-1.0,backward,half_bound,torque_squared,Torque²,N² m² s,4,3.8108998954897553,6.304684740843912,652.2924976647101
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",-1.0,backward,gallop,torque_squared,Torque²,N² m² s,4,9.252497142720596,12.789654158318065,603.5819115572226
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",-1.0,backward,all_family_balanced,torque_squared,Torque²,N² m² s,10,10.247406210923636,11.755141676161541,573.9892565466881
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",-1.0,backward,trot,absolute_work,Absolute work,J,1,-10.665938611527537,10.665938611527537,177.36080544224495
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",-1.0,backward,bound,absolute_work,Absolute work,J,1,-42.402553454292665,42.402553454292665,475.0574132357348
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",-1.0,backward,half_bound,absolute_work,Absolute work,J,4,-39.30736227145327,39.30736227145327,446.2028317106984
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",-1.0,backward,gallop,absolute_work,Absolute work,J,4,-36.21053515516814,36.21053515516814,403.3643833641341
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",-1.0,backward,all_family_balanced,absolute_work,Absolute work,J,10,-32.1465973731104,32.1465973731104,375.49635843820306
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",-1.0,backward,trot,vertical_grf_impulse,Vertical GRF impulse,N s,1,27.51856364853354,27.51856364853354,150.95062859224612
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",-1.0,backward,bound,vertical_grf_impulse,Vertical GRF impulse,N s,1,51.2258661864585,51.2258661864585,143.15108707108593
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",-1.0,backward,half_bound,vertical_grf_impulse,Vertical GRF impulse,N s,4,49.792925992788774,49.792925992788774,144.10648892649988
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",-1.0,backward,gallop,vertical_grf_impulse,Vertical GRF impulse,N s,4,44.8437513998998,44.8437513998998,146.602285983996
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",-1.0,backward,all_family_balanced,vertical_grf_impulse,Vertical GRF impulse,N s,10,43.345276806920154,43.345276806920154,146.20262264345698
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",-0.5,backward,trot,torque_squared,Torque²,N² m² s,1,19.814994189770417,19.814994189770417,537.524692376911
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",-0.5,backward,bound,torque_squared,Torque²,N² m² s,1,20.730257194131298,20.730257194131298,1266.1504315509696
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",-0.5,backward,half_bound,torque_squared,Torque²,N² m² s,4,20.385225678397763,20.385225678397763,1244.6701602722444
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",-0.5,backward,gallop,torque_squared,Torque²,N² m² s,4,19.24875842540564,19.24875842540564,1027.7515553696574
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",-0.5,backward,all_family_balanced,torque_squared,Torque²,N² m² s,10,20.04480887192628,20.04480887192628,1019.0242098924456
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",-0.5,backward,trot,absolute_work,Absolute work,J,1,1.902733454633921,1.902733454633921,228.9493126143669
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",-0.5,backward,bound,absolute_work,Absolute work,J,1,-31.594004720099512,31.594004720099512,759.493635975671
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",-0.5,backward,half_bound,absolute_work,Absolute work,J,4,-25.86105807327393,25.86105807327393,716.9947374627632
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",-0.5,backward,gallop,absolute_work,Absolute work,J,4,-18.251830934494798,18.251830934494798,610.4550366729693
