run,label,velocity_mps,direction,family,metric,metric_label,unit,cells,signed_imbalance_percent,mean_absolute_imbalance_percent,total_per_directed_m
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,1.5,forward,bound,vertical_grf_impulse,Vertical GRF impulse,N s,1,-10.270047413156796,10.270047413156796,110.86841798839411
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,1.5,forward,half_bound,vertical_grf_impulse,Vertical GRF impulse,N s,4,-13.294120766370304,13.294120766370304,113.37632161129577
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,1.5,forward,gallop,vertical_grf_impulse,Vertical GRF impulse,N s,4,-9.780364184737568,9.780364184737568,113.97283018373282
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,1.5,forward,all_family_balanced,vertical_grf_impulse,Vertical GRF impulse,N s,10,-10.376262064170984,10.376262064170984,114.33749920835493
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,-1.5,backward,trot,torque_squared,Torque²,N² m² s,1,5.7486042371631,5.7486042371631,175.35985596216196
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,-1.5,backward,bound,torque_squared,Torque²,N² m² s,1,5.949529702941977,5.949529702941977,312.0449661727263
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,-1.5,backward,half_bound,torque_squared,Torque²,N² m² s,4,5.087547279855762,6.5045078148992905,262.93296153623845
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,-1.5,backward,gallop,torque_squared,Torque²,N² m² s,4,0.24185649811760024,4.165894089752372,237.38674212215028
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,-1.5,backward,all_family_balanced,torque_squared,Torque²,N² m² s,10,4.2568844295196095,5.592133961189185,246.93113144831923
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,-1.5,backward,trot,absolute_work,Absolute work,J,1,17.46518335368135,17.46518335368135,65.70610715868102
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,-1.5,backward,bound,absolute_work,Absolute work,J,1,-9.6175226695082,9.6175226695082,191.87076828224718
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,-1.5,backward,half_bound,absolute_work,Absolute work,J,4,-1.6884166948768808,5.595996804754725,138.9876805377998
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,-1.5,backward,gallop,absolute_work,Absolute work,J,4,6.463310925534438,8.958688471305948,112.546128517976
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,-1.5,backward,all_family_balanced,absolute_work,Absolute work,J,10,3.155638728707677,10.409347824812556,127.27767112417601
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,-1.5,backward,trot,vertical_grf_impulse,Vertical GRF impulse,N s,1,1.1712571987165545,1.1712571987165545,114.63825791852736
